"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"OGNRPON","198412","2471","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198413","2215","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198501","2210","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198502","1955","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198503","1732","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198504","1667","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198505","1665","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198506","1653","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198507","1715","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198508","1734","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198509","1733","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198510","1684","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198511","1725","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198512","1760","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198513","1774","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198601","1635","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198602","1280","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198603","1007","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198604","794","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198605","687","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198606","632","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198607","621","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198608","665","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198609","681","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198610","739","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198611","820","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198612","874","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198613","865","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198701","812","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198702","743","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198703","696","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198704","681","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198705","687","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198706","703","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198707","804","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198708","894","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198709","987","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198710","1008","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198711","1034","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198712","1034","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198713","841","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198801","949","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198802","853","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198803","832","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198804","800","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198805","768","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198806","773","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198807","786","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198808","807","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198809","805","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198810","801","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198811","789","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198812","797","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198813","813","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198901","731","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198902","667","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198903","660","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198904","679","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198905","662","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
"OGNRPON","198906","692","1","Crude Oil and Natural Gas Rotary Rigs in Operation, Onshore","Number of Rigs"
